"","host_is_superhost","host_identity_verified","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","minimum_nights","number_of_reviews","instant_bookable","is_business_travel_ready","cancellation_policy","downtown","airport","ddowntown"
"136","f","t","Condominium","Entire home/apt",4,1,2,2,"Real Bed",169,1,2,4,"t","t","flexible",0,0,9079
"137","f","f","House","Entire home/apt",4,1.5,2,2,"Real Bed",100,1,14,0,"t","f","flexible",0,0,9079
"138","f","t","Apartment","Entire home/apt",5,1,2,3,"Real Bed",192,4,2,48,"t","t","moderate",0,0,9079
"139","f","f","Apartment","Entire home/apt",4,1,1,1,"Real Bed",113,2,1,0,"f","f","moderate",0,0,9079
"141","f","t","Apartment","Entire home/apt",3,1,0,1,"Real Bed",100,2,7,0,"f","f","moderate",0,0,9079
"142","t","t","House","Entire home/apt",6,1,2,3,"Real Bed",147,4,1,48,"t","t","moderate",0,0,9079
"143","f","t","Apartment","Entire home/apt",3,1,0,1,"Real Bed",119,1,3,1,"f","f","strict",0,0,9079
"144","f","t","Apartment","Entire home/apt",3,1,1,1,"Real Bed",130,1,3,0,"f","f","flexible",0,0,9079
"145","f","t","Apartment","Entire home/apt",3,1,1,1,"Real Bed",135,1,3,0,"f","f","strict",0,0,9079
"146","f","t","Apartment","Entire home/apt",5,2,2,1,"Real Bed",170,1,3,0,"f","f","strict",0,0,9079
"147","f","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",110,2,2,6,"f","f","moderate",0,0,9079
"148","f","t","Apartment","Entire home/apt",5,2,2,1,"Real Bed",175,1,3,0,"f","f","strict",0,0,9079
"149","t","t","Apartment","Entire home/apt",6,2,2,2,"Real Bed",240,1,3,142,"t","f","strict",0,0,9079
"150","f","f","Apartment","Entire home/apt",4,1,2,2,"Real Bed",150,4,5,25,"f","t","moderate",0,0,9079
"151","t","t","Apartment","Entire home/apt",6,1,3,3,"Real Bed",160,1,2,26,"f","t","moderate",0,0,9079
"152","f","t","Apartment","Entire home/apt",4,2,2,2,"Real Bed",185,1,7,6,"f","f","strict",0,0,9079
"153","f","t","Condominium","Private room",2,1,1,1,"Real Bed",60,1,1,14,"t","f","moderate",0,0,9079
"154","f","f","House","Private room",2,1,1,2,"Real Bed",110,1,2,14,"t","f","flexible",0,0,9079
"155","t","t","Apartment","Private room",2,1,1,1,"Real Bed",84,1,4,39,"f","f","moderate",0,0,9079
"156","f","t","Apartment","Private room",4,1.5,2,2,"Real Bed",79,1,1,11,"t","f","flexible",0,0,9079
"157","f","f","Condominium","Private room",2,1,1,1,"Real Bed",75,1,1,4,"t","f","moderate",0,0,9079
"158","f","f","Apartment","Private room",2,1,1,1,"Real Bed",63,1,1,7,"t","f","strict",0,0,9079
"159","t","t","House","Private room",2,1,1,1,"Real Bed",92,1,1,294,"f","f","moderate",0,0,9079
"160","f","t","Apartment","Private room",2,1,1,1,"Real Bed",65,1,1,3,"f","f","strict",0,0,9079
"161","f","f","Apartment","Private room",2,1,1,1,"Real Bed",100,1,1,16,"f","f","flexible",0,0,9079
"162","f","f","Apartment","Private room",1,1,1,1,"Real Bed",50,1,1,9,"f","f","moderate",0,0,9079
"163","t","t","Condominium","Private room",1,1,1,1,"Real Bed",88,1,6,30,"f","f","moderate",0,0,9079
"164","f","t","Apartment","Private room",2,1,1,1,"Real Bed",120,1,2,31,"f","f","moderate",0,0,9079
