"","host_is_superhost","host_identity_verified","neighborhood","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","minimum_nights","number_of_reviews","instant_bookable","is_business_travel_ready","cancellation_policy","ddowntown","dairport"
"127","f","t","Jamaica Plain","Apartment","Entire home/apt",5,1,3,4,"Real Bed",175,1,2,156,"t","f","moderate",5523,8754
"128","f","t","Jamaica Plain","Apartment","Entire home/apt",4,1,1,2,"Real Bed",130,1,2,115,"t","f","moderate",5523,8754
"129","t","t","Jamaica Plain","Apartment","Entire home/apt",2,1,1,1,"Real Bed",110,1,2,115,"f","f","strict",5523,8754
"130","f","t","Jamaica Plain","House","Private room",2,1,1,1,"Real Bed",70,1,2,3,"f","f","moderate",5523,8754
"131","f","t","Jamaica Plain","Apartment","Entire home/apt",16,3,6,7,"Real Bed",0,9,1,0,"t","f","moderate",5523,8754
"132","f","f","Jamaica Plain","Condominium","Private room",2,1.5,1,1,"Real Bed",90,1,1,0,"t","f","flexible",5523,8754
"133","t","t","Jamaica Plain","Bed & Breakfast","Entire home/apt",4,1,2,2,"Real Bed",160,2,2,138,"f","f","strict",5523,8754
"134","f","t","Jamaica Plain","House","Private room",1,1,1,1,"Real Bed",75,1,14,20,"f","f","strict",5523,8754
"135","f","t","Jamaica Plain","Apartment","Entire home/apt",6,1,2,4,"Real Bed",168,1,2,90,"t","f","moderate",5523,8754
"136","f","t","Jamaica Plain","Condominium","Entire home/apt",4,1,2,2,"Real Bed",169,1,2,4,"t","t","flexible",5523,8754
"137","f","f","Jamaica Plain","House","Entire home/apt",4,1.5,2,2,"Real Bed",100,1,14,0,"t","f","flexible",5523,8754
"138","f","t","Jamaica Plain","Apartment","Entire home/apt",5,1,2,3,"Real Bed",192,4,2,48,"t","t","moderate",5523,8754
"139","f","f","Jamaica Plain","Apartment","Entire home/apt",4,1,1,1,"Real Bed",113,2,1,0,"f","f","moderate",5523,8754
"140","t","t","Jamaica Plain","Apartment","Entire home/apt",8,2,4,6,"Real Bed",439,6,2,51,"t","t","strict",5523,8754
"141","f","t","Jamaica Plain","Apartment","Entire home/apt",3,1,0,1,"Real Bed",100,2,7,0,"f","f","moderate",5523,8754
"142","t","t","Jamaica Plain","House","Entire home/apt",6,1,2,3,"Real Bed",147,4,1,48,"t","t","moderate",5523,8754
"143","f","t","Jamaica Plain","Apartment","Entire home/apt",3,1,0,1,"Real Bed",119,1,3,1,"f","f","strict",5523,8754
"144","f","t","Jamaica Plain","Apartment","Entire home/apt",3,1,1,1,"Real Bed",130,1,3,0,"f","f","flexible",5523,8754
"145","f","t","Jamaica Plain","Apartment","Entire home/apt",3,1,1,1,"Real Bed",135,1,3,0,"f","f","strict",5523,8754
"146","f","t","Jamaica Plain","Apartment","Entire home/apt",5,2,2,1,"Real Bed",170,1,3,0,"f","f","strict",5523,8754
"147","f","t","Jamaica Plain","Apartment","Entire home/apt",2,1,1,1,"Real Bed",110,2,2,6,"f","f","moderate",5523,8754
"148","f","t","Jamaica Plain","Apartment","Entire home/apt",5,2,2,1,"Real Bed",175,1,3,0,"f","f","strict",5523,8754
"149","t","t","Jamaica Plain","Apartment","Entire home/apt",6,2,2,2,"Real Bed",240,1,3,142,"t","f","strict",5523,8754
"150","f","f","Jamaica Plain","Apartment","Entire home/apt",4,1,2,2,"Real Bed",150,4,5,25,"f","t","moderate",5523,8754
"151","t","t","Jamaica Plain","Apartment","Entire home/apt",6,1,3,3,"Real Bed",160,1,2,26,"f","t","moderate",5523,8754
"152","f","t","Jamaica Plain","Apartment","Entire home/apt",4,2,2,2,"Real Bed",185,1,7,6,"f","f","strict",5523,8754
"153","f","t","Jamaica Plain","Condominium","Private room",2,1,1,1,"Real Bed",60,1,1,14,"t","f","moderate",5523,8754
"154","f","f","Jamaica Plain","House","Private room",2,1,1,2,"Real Bed",110,1,2,14,"t","f","flexible",5523,8754
"155","t","t","Jamaica Plain","Apartment","Private room",2,1,1,1,"Real Bed",84,1,4,39,"f","f","moderate",5523,8754
"156","f","t","Jamaica Plain","Apartment","Private room",4,1.5,2,2,"Real Bed",79,1,1,11,"t","f","flexible",5523,8754
"157","f","f","Jamaica Plain","Condominium","Private room",2,1,1,1,"Real Bed",75,1,1,4,"t","f","moderate",5523,8754
"158","f","f","Jamaica Plain","Apartment","Private room",2,1,1,1,"Real Bed",63,1,1,7,"t","f","strict",5523,8754
"159","t","t","Jamaica Plain","House","Private room",2,1,1,1,"Real Bed",92,1,1,294,"f","f","moderate",5523,8754
