"","host_is_superhost","host_identity_verified","zipcode","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","minimum_nights","number_of_reviews","instant_bookable","is_business_travel_ready","cancellation_policy"
"202","f","t","02130","Apartment","Entire home/apt",2,1,1,1,"Real Bed",140,1,1,30,"t","f","flexible"
"203","f","f","02130","Apartment","Private room",2,1,1,1,"Real Bed",70,1,2,15,"f","f","flexible"
"204","f","t","02130","Apartment","Entire home/apt",4,1,2,2,"Real Bed",200,4,2,47,"f","f","moderate"
"205","t","t","02130","Apartment","Entire home/apt",4,1,1,4,"Real Bed",130,3,2,123,"f","f","moderate"
"206","f","t","02130","Apartment","Private room",2,1,1,1,"Real Bed",46,1,1,2,"f","f","flexible"
"207","t","t","02130","Condominium","Private room",2,1,1,1,"Real Bed",75,1,2,32,"f","f","flexible"
"208","t","t","02119","Condominium","Entire home/apt",4,1,2,2,"Real Bed",120,1,1,0,"f","f","flexible"
"209","f","t","02130","Apartment","Entire home/apt",6,1,3,3,"Real Bed",319,6,2,22,"f","f","moderate"
"210","f","t","02130","House","Private room",2,1,1,1,"Real Bed",46,2,2,48,"t","f","strict"
"211","f","t","02130","House","Entire home/apt",5,2,4,3,"Real Bed",149,5,30,1,"f","f","strict"
"212","f","t","02130","House","Private room",2,1,1,1,"Real Bed",85,1,1,10,"t","f","flexible"
"213","f","t","02130","Apartment","Entire home/apt",8,1.5,4,4,"Real Bed",300,6,4,2,"f","f","strict"
"214","t","t","02130","Apartment","Entire home/apt",8,2,4,4,"Real Bed",399,4,2,28,"f","t","strict"
"215","f","f","02130","Condominium","Private room",2,1,1,1,"Real Bed",75,1,1,11,"t","f","moderate"
"216","t","t","02130","House","Private room",2,1,1,1,"Real Bed",80,1,1,69,"f","f","moderate"
"217","t","t","02130","Apartment","Private room",2,1,1,2,"Real Bed",65,1,1,8,"f","f","flexible"
"218","f","t","02130","House","Entire home/apt",2,1,0,1,"Real Bed",90,1,2,217,"t","f","moderate"
"219","f","t","02130","Condominium","Entire home/apt",4,1,2,2,"Real Bed",200,4,2,3,"f","f","strict"
"220","f","t","02130","Apartment","Private room",2,1,1,1,"Real Bed",55,1,1,60,"f","f","moderate"
"221","f","f","02130","Apartment","Entire home/apt",4,1,2,2,"Real Bed",120,2,3,1,"f","f","strict"
"222","f","f","02130","House","Entire home/apt",8,3.5,4,4,"Real Bed",495,1,14,0,"t","f","flexible"
"223","f","t","02130","House","Entire home/apt",4,1,2,1,"Real Bed",170,2,2,44,"f","f","moderate"
"224","f","t","02130","House","Entire home/apt",7,2,3,4,"Real Bed",300,2,2,3,"f","f","flexible"
"225","f","t","02130","Apartment","Entire home/apt",5,2,2,1,"Real Bed",175,1,3,0,"f","f","strict"
"226","f","t","02130","Apartment","Private room",3,1,1,1,"Real Bed",75,1,2,0,"f","f","strict"
"227","f","t","02130","Apartment","Entire home/apt",3,1,0,1,"Real Bed",122,1,3,0,"f","f","strict"
"228","f","f","02130","Apartment","Private room",2,1,1,1,"Real Bed",80,1,1,0,"f","f","flexible"
"229","f","t","02130","Apartment","Entire home/apt",5,2,2,2,"Real Bed",177,1,3,1,"f","f","strict"
"230","t","t","02130","House","Private room",2,1,1,1,"Real Bed",69,1,2,22,"t","f","moderate"
"231","t","t","02130","House","Entire home/apt",5,1.5,2,3,"Real Bed",187,4,5,3,"f","t","strict"
"232","t","t","02130","Apartment","Entire home/apt",2,1,1,1,"Real Bed",120,2,3,27,"f","t","flexible"
"234","f","t","02130","Guest suite","Entire home/apt",2,1,1,1,"Real Bed",100,2,3,134,"f","t","strict"
"235","f","t","02130","Guesthouse","Private room",2,1,1,1,"Real Bed",179,1,1,2,"t","f","moderate"
"236","f","f","02130","Apartment","Private room",2,1,1,1,"Real Bed",65,1,2,38,"f","f","strict"
"237","f","t","02130","House","Entire home/apt",6,1,4,4,"Real Bed",335,1,4,2,"f","f","strict"
"238","t","t","02130","Apartment","Entire home/apt",9,2,4,4,"Real Bed",195,4,2,109,"f","t","strict"
"239","f","f","02130","Apartment","Entire home/apt",5,2,2,1,"Real Bed",189,1,3,0,"f","f","strict"
