"","host_is_superhost","host_identity_verified","neighborhood","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","minimum_nights","number_of_reviews","instant_bookable","is_business_travel_ready","cancellation_policy"
"696","f","f","Chinatown","Apartment","Entire home/apt",3,1,1,1,"Real Bed",571,1,6,0,"f","f","strict"
"710","f","f","Chinatown","Apartment","Entire home/apt",3,1,1,1,"Real Bed",571,1,6,0,"f","f","strict"
"711","f","f","Chinatown","Apartment","Entire home/apt",5,2,2,2,"Real Bed",800,1,3,2,"f","f","strict"
"713","f","f","Chinatown","Apartment","Entire home/apt",3,1,1,1,"Real Bed",571,1,6,0,"f","f","strict"
"714","f","f","Chinatown","Apartment","Entire home/apt",3,1,1,1,"Real Bed",571,1,3,0,"f","f","strict"
"719","f","f","Chinatown","Apartment","Entire home/apt",3,1,1,1,"Real Bed",571,1,3,0,"f","f","strict"
"722","f","f","Chinatown","Apartment","Entire home/apt",5,2,2,2,"Real Bed",800,1,6,0,"f","f","strict"
"767","f","t","Chinatown","Other","Entire home/apt",7,2,3,4,"Real Bed",558,1,7,0,"f","f","moderate"
"772","f","f","Chinatown","Apartment","Entire home/apt",5,2,2,2,"Real Bed",599,1,3,0,"f","f","strict"
"777","f","f","Chinatown","Apartment","Entire home/apt",5,2,2,2,"Real Bed",599,1,3,0,"f","f","strict"
"799","f","f","Chinatown","Apartment","Entire home/apt",5,2,2,2,"Real Bed",800,1,6,0,"f","f","strict"
"841","f","f","North End","House","Entire home/apt",6,2,3,3,"Real Bed",505,2,2,3,"t","f","super_strict_30"
"854","f","f","North End","Condominium","Entire home/apt",6,1.5,2,3,"Real Bed",425,4,3,1,"f","f","strict"
"899","f","f","North End","Condominium","Entire home/apt",6,1,2,2,"Real Bed",500,4,2,0,"t","f","strict"
"908","f","f","North End","Apartment","Entire home/apt",2,1,1,1,"Real Bed",559,1,2,0,"f","f","flexible"
"913","f","f","North End","House","Entire home/apt",12,2,3,7,"Real Bed",995,12,1,9,"t","t","strict"
"935","f","t","North End","Apartment","Entire home/apt",6,2,2,3,"Real Bed",600,4,2,8,"f","f","moderate"
"1122","f","t","Roxbury","Apartment","Entire home/apt",8,2,3,5,"Real Bed",450,5,6,15,"f","f","strict"
"1173","f","t","Roxbury","Apartment","Entire home/apt",8,2,3,4,"Real Bed",450,5,6,5,"f","f","strict"
"1218","t","t","Roxbury","Apartment","Entire home/apt",8,3,4,4,"Real Bed",900,7,2,3,"f","t","moderate"
"1227","t","t","Roxbury","Apartment","Entire home/apt",8,2,4,5,"Real Bed",625,1,3,3,"f","t","moderate"
"1232","f","t","Roxbury","Apartment","Entire home/apt",15,2,4,9,"Real Bed",536,10,1,83,"t","t","strict"
"1240","f","t","Roxbury","Apartment","Entire home/apt",16,3,5,10,"Real Bed",700,10,1,78,"t","t","strict"
"1264","f","t","South End","Apartment","Entire home/apt",5,2,3,4,"Real Bed",650,4,2,51,"f","t","moderate"
"1305","t","t","South End","Apartment","Private room",4,2,2,2,"Real Bed",597,1,2,24,"t","f","strict"
"1318","f","t","South End","House","Entire home/apt",10,2,5,7,"Real Bed",600,1,2,36,"f","t","strict"
"1331","f","t","South End","House","Entire home/apt",10,4.5,5,6,"Real Bed",1400,1,5,4,"f","f","moderate"
"1395","f","t","South End","Apartment","Entire home/apt",3,2,2,2,"Real Bed",450,3,7,1,"f","f","strict"
"1410","f","f","South End","Apartment","Entire home/apt",8,2.5,3,4,"Real Bed",417,1,2,64,"f","t","strict"
"1427","f","t","South End","Apartment","Entire home/apt",5,2,3,4,"Real Bed",550,1,2,1,"f","f","moderate"
"1429","t","t","South End","Condominium","Entire home/apt",4,2,2,2,"Real Bed",500,1,2,53,"f","t","moderate"
"1461","f","t","South End","House","Entire home/apt",4,2.5,2,2,"Real Bed",750,1,4,4,"f","f","strict"
"1481","f","t","South End","Apartment","Entire home/apt",8,2.5,3,4,"Real Bed",900,1,4,32,"f","t","strict"
"1494","t","t","South End","Townhouse","Entire home/apt",4,2.5,2,2,"Real Bed",575,1,2,35,"f","f","strict"
"1496","f","f","South End","Apartment","Entire home/apt",2,1,0,2,"Real Bed",1149,1,3,23,"f","t","strict"
"1500","f","t","South End","Apartment","Entire home/apt",8,2,3,4,"Real Bed",525,1,2,61,"t","f","strict"
"1528","t","t","South End","Other","Shared room",1,0,1,1,"Airbed",500,1,1,26,"f","f","strict"
"1532","f","t","South End","Apartment","Entire home/apt",4,1,2,2,"Real Bed",699,1,2,1,"t","f","strict"
"1537","f","t","South End","Apartment","Entire home/apt",2,1,1,1,"Real Bed",699,1,2,1,"t","f","strict"
"1558","f","f","South End","Apartment","Entire home/apt",12,2,2,2,"Real Bed",504,2,1,3,"f","f","strict"
"1587","f","f","South End","Townhouse","Entire home/apt",8,5,4,4,"Real Bed",2000,1,3,0,"f","f","flexible"
"1600","f","f","South End","Condominium","Entire home/apt",7,2,4,5,"Real Bed",450,4,1,7,"f","f","flexible"
"1633","f","t","Back Bay","Apartment","Entire home/apt",6,3,3,3,"Real Bed",603,1,3,39,"f","f","super_strict_30"
"1635","t","t","Back Bay","Apartment","Entire home/apt",4,1,2,3,"Real Bed",450,4,3,31,"f","t","moderate"
"1646","f","f","Back Bay","Apartment","Entire home/apt",6,0.5,2,2,"Real Bed",479,1,2,1,"f","f","flexible"
"1654","f","f","Back Bay","Apartment","Entire home/apt",5,1,2,3,"Real Bed",429,1,1,1,"t","f","strict"
"1655","f","f","Back Bay","Apartment","Entire home/apt",5,2,2,3,"Real Bed",429,1,2,30,"t","t","strict"
"1667","f","f","Back Bay","Apartment","Entire home/apt",3,1,1,1,"Real Bed",450,1,2,0,"f","f","flexible"
"1688","f","f","Back Bay","Apartment","Private room",1,1,1,1,"Real Bed",833,1,1,0,"t","f","flexible"
