"","host_is_superhost","host_identity_verified","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","minimum_nights","number_of_reviews","instant_bookable","is_business_travel_ready","cancellation_policy","ddowntown","dairport"
"115","f","f","Apartment","Private room",4,1,1,2,"Real Bed",92,2,2,10,"t","f","strict",9079,13573
"116","t","t","Townhouse","Private room",2,1,1,1,"Real Bed",95,1,2,53,"f","f","strict",9079,13573
"117","t","t","House","Private room",1,1,1,1,"Futon",90,1,2,61,"f","f","flexible",9079,13573
"118","t","t","House","Private room",4,1,1,2,"Real Bed",120,2,2,87,"f","f","moderate",9079,13573
"119","t","t","House","Private room",1,2,1,1,"Real Bed",50,1,2,100,"t","f","moderate",9079,13573
"120","f","t","House","Private room",2,1,1,1,"Real Bed",105,1,2,36,"f","f","strict",9079,13573
"121","t","t","Townhouse","Private room",2,1.5,1,1,"Real Bed",89,1,1,13,"f","f","strict",9079,13573
"122","f","t","House","Private room",2,1,1,1,"Real Bed",95,2,1,22,"t","f","moderate",9079,13573
"123","f","t","Condominium","Private room",2,2,1,1,"Real Bed",70,1,1,10,"f","f","flexible",9079,13573
"124","f","t","Apartment","Private room",2,1,1,1,"Real Bed",99,1,2,2,"f","f","moderate",9079,13573
"125","f","t","Apartment","Private room",2,1,1,1,"Real Bed",70,2,1,4,"f","f","flexible",9079,13573
"126","f","t","Apartment","Private room",2,1,1,1,"Real Bed",90,1,1,3,"f","f","moderate",9079,13573
"127","f","t","Apartment","Entire home/apt",5,1,3,4,"Real Bed",175,1,2,156,"t","f","moderate",9079,13573
"128","f","t","Apartment","Entire home/apt",4,1,1,2,"Real Bed",130,1,2,115,"t","f","moderate",9079,13573
"129","t","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",110,1,2,115,"f","f","strict",9079,13573
"130","f","t","House","Private room",2,1,1,1,"Real Bed",70,1,2,3,"f","f","moderate",9079,13573
"131","f","t","Apartment","Entire home/apt",16,3,6,7,"Real Bed",0,9,1,0,"t","f","moderate",9079,13573
